PHASE,WEIGHT,ALT.,MACH,CAS,TAS,WIND,SR,RATE,GRDT,ALPH,WFE,N1,EGT,CL,CD,FN,DRAG,PCFN,TIME,FUEL,DIST,theta, theta2,CN1
CRZ,105000,12000,0.488,260,309.1,,0.07675,,,1.72,4027,57.849,580,,,,,29.6,,,,0.917542946,0.961244416,59.00365854
CRZ,150000,10000,0.452,250,288.7,,0.06719,,,3.49,4297,58.111,581,,,,,31.8,,,,0.931285789,0.969338871,59.02289873
CRZ,140000,11000,0.461,250,293,,0.07042,,,3.15,4161,58.09,580,,,,,31.2,,,,0.924414368,0.963705861,59.17375461
CRZ,100000,11000,0.497,270,316,,0.07447,,,1.34,4243,58.313,586,,,,,30.4,,,,0.924414368,0.970082101,59.2053754
CRZ,125000,11000,0.479,260,304.5,,0.07238,,,2.33,4207,58.246,583,,,,,30.9,,,,0.924414368,0.966834079,59.23660102
CRZ,120000,10000,0.488,270,311.4,,0.07066,,,1.9,4408,58.517,589,,,,,31.4,,,,0.931285789,0.975641813,59.24297382
CRZ,140000,10000,0.47,260,300.1,,0.06863,,,2.79,4372,58.449,586,,,,,31.9,,,,0.931285789,0.972429995,59.27177213
CRZ,115000,13000,0.478,250,301.9,,0.078,,,2.32,3870,57.849,575,,,,,29.6,,,,0.910671525,0.9522863,59.28053136
CRZ,100000,14000,0.487,250,306.5,,0.08224,,,1.83,3727,57.685,572,,,,,28.7,,,,0.903800104,0.946670777,59.28753736
CRZ,110000,12000,0.488,260,309.1,,0.07614,,,1.87,4060,58.137,581,,,,,30.1,,,,0.917542946,0.961244416,59.29740698
CRZ,130000,12000,0.469,250,297.4,,0.07374,,,2.82,4033,58.123,578,,,,,30.6,,,,0.917542946,0.957907679,59.38629
CRZ,105000,11000,0.497,270,316,,0.07405,,,1.48,4268,58.535,586,,,,,30.8,,,,0.924414368,0.970082101,59.43077271
CRZ,155000,10000,0.452,250,288.7,,0.06614,,,3.65,4365,58.554,584,,,,,32.6,,,,0.931285789,0.969338871,59.47285045
CRZ,125000,10000,0.488,270,311.4,,0.07012,,,2.04,4441,58.794,589,,,,,31.9,,,,0.931285789,0.975641813,59.52341033
CRZ,130000,11000,0.479,260,304.5,,0.07168,,,2.48,4249,58.575,584,,,,,31.5,,,,0.924414368,0.966834079,59.57119639
CRZ,115000,12000,0.488,260,309.1,,0.07552,,,2.02,4093,58.434,581,,,,,30.6,,,,0.917542946,0.961244416,59.60033506
CRZ,145000,11000,0.461,250,293,,0.06943,,,3.32,4220,58.514,582,,,,,31.9,,,,0.924414368,0.963705861,59.60566496
CRZ,105000,14000,0.487,250,306.5,,0.08152,,,1.99,3759,58.001,573,,,,,29.3,,,,0.903800104,0.946670777,59.61231611
CRZ,145000,10000,0.47,260,300.1,,0.06785,,,2.94,4423,58.815,588,,,,,32.5,,,,0.931285789,0.972429995,59.64292422
CRZ,120000,13000,0.478,250,301.9,,0.07718,,,2.48,3911,58.203,576,,,,,30.2,,,,0.910671525,0.9522863,59.64329145
CRZ,110000,11000,0.497,270,316,,0.07359,,,1.62,4295,58.782,587,,,,,31.3,,,,0.924414368,0.970082101,59.6815526
CRZ,100000,10000,0.506,280,322.8,,0.07166,,,1.14,4504,59.075,593,,,,,31.8,,,,0.931285789,0.978974326,59.70601408
CRZ,100000,13000,0.497,260,313.7,,0.0794,,,1.57,3951,58.379,578,,,,,29.9,,,,0.910671525,0.955660338,59.71794719
CRZ,135000,12000,0.469,250,297.4,,0.07283,,,2.98,4084,58.519,580,,,,,31.3,,,,0.917542946,0.957907679,59.79089697
CRZ,130000,10000,0.488,270,311.4,,0.06957,,,2.18,4476,59.08,590,,,,,32.4,,,,0.931285789,0.975641813,59.81295851
